2,2,2,2,2,2,5,5,5,5,5,5,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,40,40,40,40,40,40,50,50,50,50,50,50,60,60,60,60,60,60,70,70,70,70,70,70,80,80,80,80,80,80,90,90,90,90,90,90,100,100,100,100,100,100,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
15.1075,104.57,9.42993,0.053412,0.079587,100,4.12126,245.409,3.91891,0.068515,0.08741,100,1.02783,187.645,4.98275,0.131741,0.214702,100,0.00762262,106.705,8.75502,0.286685,0.329886,100,0.00258848,86.8617,10.4681,0.438861,0.605584,100,0.00593119,62.0686,14.6549,0.571979,0.884323,100,0.0232116,50.8577,17.6944,0.704635,1.26369,100,0.00213884,44.0671,20.5365,0.858148,1.29797,100,0.00937645,35.408,25.6619,0.993814,1.58652,100,0.00789822,26.5497,34.5049,1.1428,2.01759,100,0.00868671,28.214,31.7279,1.28573,2.42977,100,0.00100006,19.3695,48.3393,1.41464,1.87364,100,
16.2433,94.7107,10.3966,0.06015,0.101759,100,3.43909,202.522,4.74539,0.082524,0.109816,100,0.443639,153.617,6.13025,0.148019,0.231428,100,0.00762171,96.0641,9.78529,0.285109,0.33931,100,0.00345724,82.2708,11.0652,0.429769,0.659962,100,0.00943238,61.5029,14.7378,0.568335,0.953304,100,0.00582765,45.7123,20.0721,0.711711,1.09216,100,0.00753548,39.0968,23.3264,0.860825,1.39038,100,0.00744428,32.0544,28.33,0.995286,1.87174,100,0.0115971,32.0596,28.2432,1.14456,1.80415,100,0.00964632,24.2537,38.0664,1.09139,2.07306,100,0.00118968,27.3499,33.482,1.17127,1.90989,100,
15.2884,262.862,3.69075,0.035389,0.078139,100,0.149087,207.568,4.63592,0.070512,0.111272,100,0.139531,166.922,5.62802,0.133537,0.229281,100,0.00791714,113.108,8.28412,0.248552,0.30843,100,0.00581839,95.2701,9.63061,0.368288,0.497577,100,0.00887224,63.4644,14.5023,0.482057,0.772566,100,0.00954091,54.2755,16.8705,0.59562,0.958434,100,0.0123787,44.8883,20.0685,0.711586,1.49749,100,2.53508,37.296,23.4808,0.827483,2.50417,100,0.00586789,34.1447,26.2829,0.945591,2.05864,100,0.00372172,29.0746,31.3034,1.05602,2.0348,100,0.00241051,28.704,31.8125,1.17395,1.85185,100,
15.7531,244.017,3.98202,0.035229,0.080818,100,0.189463,205.81,4.65459,0.071058,0.133188,100,1.16208,174.901,5.40757,0.132606,0.177343,100,0.0225995,113.256,8.26191,0.248164,0.319458,100,0.00551228,52.4465,18.1474,0.400233,0.519386,100,0.0195336,23.281,41.3388,0.632594,0.981963,100,0.0180315,52.1099,17.2833,0.723405,1.18353,100,0.0191261,42.6963,21.09,0.87062,1.4606,100,0.00792966,19.493,48.5197,1.02965,1.75125,100,0.0442933,30.7581,28.8146,1.14735,2.54983,100,0.00498503,15.8565,58.9311,1.33949,2.79484,100,0.00556809,20.8874,43.1978,1.45429,3.22373,100,
15.8036,272.682,3.54529,0.039444,0.082542,100,0.243867,221.489,4.28405,0.0825,0.148352,100,0.37541,157.215,5.97197,0.145787,0.242961,100,0.0639825,100.86,9.2737,0.282262,0.358815,100,0.0425632,75.5355,12.1783,0.432464,0.628001,100,2.07799,59.5097,15.1205,0.566645,1.11687,100,0.0179943,50.105,17.8084,0.70662,1.44309,100,0.00522826,40.954,22.121,0.861985,1.43466,100,0.00166434,43.002,20.9051,0.828736,1.52093,100,0.00585836,34.1166,26.5561,0.94385,1.81126,100,0.00442925,26.474,34.9791,1.05723,1.73658,100,0.00167125,27.4995,32.4043,1.1773,2.78269,100,
15.9945,268.066,3.61674,0.035216,0.078465,100,0.270022,221.356,4.29912,0.070037,0.148451,100,1.83138,177.894,5.2361,0.129695,0.255538,100,0.0421562,64.1462,14.9929,0.287326,0.309137,100,0.0628712,25.816,37.5827,0.488925,0.664001,100,0.0177132,45.8829,20.3834,0.590533,0.820637,100,0.00456792,52.4738,17.3492,0.712923,0.995069,100,0.0120333,50.5232,17.5215,0.849173,1.42223,100,0.00885788,33.1914,27.2925,0.995871,1.83997,100,0.00605093,31.3936,28.4909,1.14763,2.21507,100,0.00245849,28.5216,31.5391,1.28829,2.23381,100,0.00532304,25.9725,34.9432,1.30921,2.24986,100,
17.1368,246.974,3.92767,0.034823,0.086518,100,0.296188,218.985,4.34987,0.069914,0.146734,100,1.78418,194.53,4.78258,0.128983,0.229038,100,0.415995,108.978,8.57411,0.24574,0.356338,100,0.00924455,87.3431,10.5332,0.364959,0.550897,100,1.62024,61.0965,15.0645,0.487038,0.815982,100,0.0189275,51.2538,17.9533,0.598027,0.959463,100,0.0293963,51.6906,17.282,0.70967,1.35425,100,0.0532657,41.6365,21.5955,0.824413,1.59746,100,0.00656629,35.1186,25.6898,0.939428,1.84576,100,0.00541037,29.6728,30.3633,1.058,2.27968,100,0.00177266,26.9305,33.1034,1.17224,2.85694,100,
17.2281,245.505,3.95335,0.034595,0.085294,100,0.339853,232.359,4.10089,0.070714,0.132092,100,5.42605,194.296,4.77323,0.129455,0.244098,100,0.0547976,108.054,8.70179,0.246402,0.306461,100,0.034688,57.6103,16.4224,0.379871,0.555736,100,0.0226348,31.4321,30.1889,0.613232,1.01252,100,0.00745831,54.363,16.4892,0.714242,1.19143,100,0.00823041,41.7324,21.5699,0.856418,1.53588,100,0.0187675,33.5296,26.8211,0.997985,2.00528,100,0.031602,35.2967,24.6769,1.14523,2.50919,100,0.00622773,26.4559,34.2564,1.29539,2.24689,100,0.00653297,23.6707,38.4854,1.44279,2.31815,100,
16.2912,276.037,3.49433,0.042232,0.086143,100,0.44974,211.99,4.47996,0.077744,0.159507,100,7.93874,175.802,5.29029,0.133116,0.264813,100,0.198505,108.167,8.66687,0.250649,0.327416,100,2.14424,88.8259,10.2564,0.365323,0.636257,100,2.81548,60.7698,14.791,0.482132,1.1824,100,0.0269439,53.4512,17.2378,0.593415,0.877498,100,0.0145723,46.0431,19.7986,0.713219,1.20692,100,0.00871855,36.3016,25.2708,0.826625,1.44951,100,0.0135117,34.9079,25.721,0.948032,1.97775,100,0.0078893,26.5163,34.9288,1.05772,1.72614,100,0.00212142,28.2086,32.3228,1.16909,1.95829,100,
16.4027,248.761,3.90538,0.034379,0.080158,100,0.501401,235.143,4.03134,0.06967,0.15172,100,1.83304,191.859,4.83247,0.129007,0.250687,100,0.456157,109.272,8.52115,0.24784,0.382491,100,2.34104,83.1229,10.9704,0.367087,0.692897,100,0.0122016,68.0117,13.5245,0.481176,0.697665,100,0.0204968,56.9683,15.9575,0.593617,1.00251,100,0.0192431,47.5692,18.6853,0.712538,1.62414,100,0.00762612,38.7198,23.5835,0.831928,1.41112,100,0.011612,17.5628,53.2447,1.29027,2.40345,100,0.011749,23.8798,37.5982,1.31761,2.96052,100,0.0068353,23.9193,37.6697,1.44066,2.69697,100,
